                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4546,                 0.1288,                 0.6365,                0.74717,                0.39391,                0.46154,                0.28426,                0.08214,                0.22874,                0.26923,                0.10014,                0.02494,                 2.9031,                 4.4664,                 1.9525,                 1.1244,               0.006634,               0.006634,               0.006634
                     36,                 1.5448,                0.02624,                0.67543,                0.75467,                0.26174,                0.34615,                0.18633,                0.05553,                0.11727,                0.15385,                0.05126,                0.01471,                 3.1898,                 4.4994,                 2.5059,                 1.0629,               0.006535,               0.006535,               0.006535
                     37,                 1.5976,                0.03179,                 0.6787,                0.76984,                0.42665,                    0.5,                 0.3434,                0.11916,                0.26235,                0.30769,                 0.1342,                0.04053,                 2.8144,                  4.604,                 1.6499,                  1.098,               0.006436,               0.006436,               0.006436
                     38,                 1.3308,                0.02127,                0.65463,                  0.734,                 0.4285,                0.34615,                0.35827,                 0.1078,                0.21266,                0.19231,                0.10537,                 0.0375,                 2.9829,                 4.7802,                 1.6168,                 1.1166,               0.006337,               0.006337,               0.006337
                     39,                 1.4117,                0.05382,                0.65849,                0.77768,                0.48999,                0.34615,                0.32028,                0.09366,                0.21839,                0.30769,                0.14641,                0.04024,                 2.9569,                 5.1678,                 2.0145,                 1.1114,               0.006238,               0.006238,               0.006238
                     40,                 1.2389,                0.04461,                0.48489,                0.72198,                0.68749,                0.42306,                0.43104,                0.09873,                0.31689,                0.30769,                0.20547,                0.04789,                  3.143,                 5.5281,                 1.5848,                 1.1559,               0.006139,               0.006139,               0.006139
                     41,                 1.2667,                0.04924,                0.51308,                 0.7795,                0.61758,                0.49703,                0.46339,                0.11916,                0.24489,                0.26923,                0.16874,                0.04019,                 2.9873,                 5.7382,                 1.6506,                 1.1335,                0.00604,                0.00604,                0.00604
                     42,                 1.5075,                0.05387,                0.61477,                0.81651,                0.57952,                    0.5,                0.42129,                0.13599,                0.31321,                0.26923,                0.18974,                0.05855,                 2.8837,                  6.733,                  1.484,                 1.0995,               0.005941,               0.005941,               0.005941
                     43,                 1.4273,                0.01018,                0.54259,                  0.735,                0.61854,                0.42308,                0.42435,                0.15776,                0.36786,                0.34615,                0.24848,                 0.0408,                 2.7014,                 7.0042,                  1.315,                 1.0389,               0.005842,               0.005842,               0.005842
                     44,                 1.4491,                0.04809,                0.57921,                0.80413,                0.46002,                 0.3935,                 0.3581,                0.12942,                0.37504,                0.38462,                0.25057,                0.06382,                 2.9382,                 4.7677,                 1.4209,                 1.1521,               0.005743,               0.005743,               0.005743
                     45,                 1.2829,                0.04815,                0.54337,                0.77686,                0.51874,                    0.5,                0.41786,                0.17374,                0.37865,                0.39878,                0.33905,                0.09762,                 2.4571,                 5.5708,                 1.2251,                 1.0129,               0.005644,               0.005644,               0.005644
                     46,                 1.3677,                0.06544,                0.57821,                0.79421,                0.60754,                0.38462,                0.40755,                0.12098,                0.51584,                    0.5,                0.47613,                 0.1663,                 3.1638,                 4.2838,                 1.1834,                 1.1637,               0.005545,               0.005545,               0.005545
                     47,                 1.3985,                0.04559,                0.56474,                0.78186,                0.72037,                0.42308,                0.41434,                0.17411,                0.44157,                0.46154,                0.33192,                0.10262,                 2.4063,                 4.4347,                 1.2754,                 1.0017,               0.005446,               0.005446,               0.005446
                     48,                 1.1974,                0.01265,                0.52904,                0.80132,                0.67452,                0.42308,                0.44725,                 0.1452,                 0.5746,                0.46154,                0.41906,                0.10622,                 3.1004,                 4.4982,                 1.2252,                 1.1384,               0.005347,               0.005347,               0.005347
                     49,                 1.1337,                0.05343,                0.46707,                0.76412,                0.67066,                0.42308,                0.44947,                0.14803,                0.67478,                    0.5,                0.52894,                0.12098,                 2.8974,                 5.0567,                 1.2363,                   1.12,               0.005248,               0.005248,               0.005248
                     50,                0.98255,                0.03777,                0.51708,                0.73799,                0.60144,                0.46154,                 0.4699,                0.18051,                0.62614,                    0.5,                0.44473,                0.14997,                 2.9341,                 4.9379,                  1.102,                 1.1189,               0.005149,               0.005149,               0.005149
                     51,                  1.042,                 0.0142,                0.44354,                0.73297,                0.82646,                0.42308,                0.51314,                0.17296,                0.68948,                0.42308,                 0.5279,                0.15635,                 2.8362,                 4.9412,                 1.0688,                 1.0821,                0.00505,                0.00505,                0.00505
                     52,                 1.2974,                0.00997,                0.47894,                0.73825,                0.54203,                0.45546,                0.41187,                0.15958,                0.60604,                0.42308,                0.39259,                0.13854,                 2.8479,                 5.2502,                 1.2427,                 1.1145,               0.004951,               0.004951,               0.004951
                     53,                 1.0776,                0.01344,                0.44838,                 0.7756,                0.49592,                0.46154,                0.35031,                0.10398,                0.32272,                0.26923,                0.16698,                0.07385,                 3.0675,                 5.4934,                 1.2811,                 1.1489,               0.004852,               0.004852,               0.004852
                     54,                 1.0988,                 0.0436,                0.50306,                0.73106,                0.70268,                    0.5,                0.46552,                0.13684,                0.48619,                0.34615,                0.26829,                0.09561,                 2.6771,                 5.8862,                 1.3246,                 1.0836,               0.004753,               0.004753,               0.004753
                     55,                 1.1274,                0.00998,                0.47584,                0.77839,                0.64682,                0.46154,                0.43886,                0.14654,                0.52978,                0.38462,                0.35567,                0.07168,                  2.572,                  5.351,                  1.522,                 1.0315,               0.004654,               0.004654,               0.004654
                     56,                 1.0477,                0.00947,                0.42083,                0.74952,                0.56848,                0.42308,                0.36944,                0.13636,                0.51493,                0.38462,                0.35033,                0.08351,                 2.9117,                 4.6597,                 1.6894,                 1.1344,               0.004555,               0.004555,               0.004555
                     57,                 1.1042,                0.00341,                0.44744,                0.76543,                0.64382,                0.41743,                 0.3764,                0.12065,                0.48538,                0.36325,                0.31228,                0.08288,                 2.8529,                 4.2991,                 1.8405,                 1.0805,               0.004456,               0.004456,               0.004456
                     58,                 1.1646,                0.00261,                0.42502,                0.76536,                0.66508,                0.45843,                0.45039,                0.14071,                0.41941,                0.30769,                0.22342,                 0.0556,                 3.0107,                 5.2185,                 1.8233,                 1.1517,               0.004357,               0.004357,               0.004357
                     59,                0.99241,                0.00277,                0.39751,                0.74889,                0.65057,                0.46154,                0.44303,                0.15478,                0.37181,                0.30769,                0.21417,                0.05975,                 2.7631,                 5.2605,                 1.8452,                  1.087,               0.004258,               0.004258,               0.004258
                     60,                0.98741,                0.00479,                0.40327,                0.73309,                0.64839,                0.49664,                0.43378,                0.12014,                0.38962,                0.34615,                0.20427,                0.05566,                 2.8988,                  5.274,                 1.8711,                  1.117,               0.004159,               0.004159,               0.004159
                     61,                  1.015,                0.00792,                0.40894,                0.74262,                 0.6297,                0.46154,                0.45074,                0.12811,                0.26232,                0.19231,                 0.1143,                0.03359,                 2.6775,                 4.7253,                 1.8976,                 1.0558,                0.00406,                0.00406,                0.00406
                     62,                0.90059,                0.00236,                0.43658,                0.73199,                0.63969,                    0.5,                0.42876,                 0.1073,                0.38645,                0.30769,                0.17056,                 0.0425,                 2.9988,                 5.0401,                 1.5267,                 1.1195,               0.003961,               0.003961,               0.003961
                     63,                 1.0811,                0.00103,                0.41888,                0.77421,                0.69754,                0.46154,                 0.4419,                0.13227,                0.34801,                0.23077,                0.16349,                0.03717,                 2.8193,                 5.3019,                 1.3991,                 1.0943,               0.003862,               0.003862,               0.003862
                     64,                0.78118,                0.00112,                0.35964,                0.70231,                0.80365,                    0.5,                0.49843,                0.13426,                0.49432,                0.30769,                0.23839,                0.05885,                 2.9456,                 5.4445,                 1.3931,                 1.1066,               0.003763,               0.003763,               0.003763
                     65,                 0.8178,                0.00164,                0.37839,                0.70789,                0.80134,                    0.5,                0.51472,                0.15353,                  0.553,                0.34615,                0.31971,                0.08583,                 2.9718,                 5.2486,                 1.3268,                 1.1319,               0.003664,               0.003664,               0.003664
                     66,                 0.8815,                0.00256,                0.37229,                 0.7567,                0.75233,                    0.5,                0.55225,                0.17419,                0.42418,                0.26923,                0.27599,                0.05756,                 2.8728,                 4.9897,                 1.2315,                 1.1168,               0.003565,               0.003565,               0.003565
                     67,                0.89928,                0.00191,                0.37893,                 0.7633,                 0.7182,                    0.5,                0.56311,                 0.1747,                0.61006,                0.34615,                0.36275,                0.09863,                 2.8308,                 4.8868,                 1.1447,                 1.0864,               0.003466,               0.003466,               0.003466
                     68,                0.80455,                0.00113,                0.33643,                0.73291,                0.72976,                0.51982,                0.53957,                0.14547,                0.36185,                0.30769,                0.24659,                0.07431,                 2.8594,                 4.8274,                 1.1161,                 1.0649,               0.003367,               0.003367,               0.003367
